hotel,arrival_date,arrival_year,arrival_month_num,arrival_date_month,lead_time,lead_time_category,total_guests,total_nights,is_cancelled,adr,estimated_revenue,market_segment,distribution_channel,customer_type,meal,country,deposit_type,reservation_status
Resort Hotel,2015-07-02,2015,7,July,16,0-30 days,2.0,5,False,123.0,615.0,Direct,Direct,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,107,>90 days,2.0,7,False,110.7,774.9,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,47,31-90 days,4.0,7,True,153.0,1071.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,96,>90 days,2.0,7,False,58.95,412.65000000000003,Offline TA/TO,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,113,>90 days,2.0,7,False,82.88,580.16,Offline TA/TO,TA/TO,Transient-Party,BB,NOR,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,90,31-90 days,2.0,7,False,82.35,576.4499999999999,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,50,31-90 days,2.0,7,False,119.35,835.4499999999999,Online TA,TA/TO,Transient,HB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,113,>90 days,2.0,7,False,67.58,473.06,Offline TA/TO,TA/TO,Transient-Party,BB,NOR,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,93,>90 days,2.0,11,False,56.01,616.11,Offline TA/TO,TA/TO,Contract,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,76,31-90 days,2.0,14,False,110.7,1549.8,Offline TA/TO,TA/TO,Contract,BB,OMN,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,3,0-30 days,2.0,1,False,88.2,88.2,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,1,0-30 days,2.0,1,False,147.0,147.0,Online TA,TA/TO,Transient,BB,ARG,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,1,0-30 days,4.0,1,False,107.0,107.0,Direct,Direct,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,0,0-30 days,2.0,1,False,147.0,147.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,0,0-30 days,2.0,1,False,117.9,117.9,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,0,0-30 days,2.0,1,False,123.0,123.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,14,0-30 days,2.0,2,False,98.0,196.0,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,10,0-30 days,2.0,2,False,117.81,235.62,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,5,0-30 days,2.0,2,False,135.0,270.0,Online TA,TA/TO,Transient,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,17,0-30 days,2.0,3,False,133.0,399.0,Direct,Direct,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,93,>90 days,2.0,3,False,58.95,176.85000000000002,Offline TA/TO,TA/TO,Contract,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,3,0-30 days,2.0,3,True,136.33,408.99,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,10,0-30 days,4.0,2,False,153.0,306.0,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,3,0-30 days,2.0,2,False,110.5,221.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,51,31-90 days,2.0,2,False,97.0,194.0,Online TA,TA/TO,Transient,BB,POL,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,71,31-90 days,3.0,2,True,110.3,220.6,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,63,31-90 days,2.0,2,True,82.0,164.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,62,31-90 days,2.0,2,True,97.0,194.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,101,>90 days,2.0,2,True,73.8,147.6,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,2,0-30 days,2.0,2,False,91.5,183.0,Offline TA/TO,TA/TO,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,15,0-30 days,2.0,2,False,114.5,229.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,51,31-90 days,3.0,2,True,110.3,220.6,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,3,0-30 days,2.0,3,False,90.9,272.70000000000005,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,48,31-90 days,2.0,3,True,123.0,369.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,2,0-30 days,1.0,4,False,122.0,488.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,72,31-90 days,2.0,4,False,110.7,442.8,Offline TA/TO,TA/TO,Transient,BB,DEU,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,81,31-90 days,3.0,8,False,85.86,686.88,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,99,>90 days,2.0,9,False,58.95,530.5500000000001,Offline TA/TO,TA/TO,Contract,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,368,>90 days,2.0,10,True,55.68,556.8,Offline TA/TO,TA/TO,Contract,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,364,>90 days,2.0,10,False,55.68,556.8,Offline TA/TO,TA/TO,Contract,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,81,31-90 days,2.0,10,True,124.0,1240.0,Direct,Direct,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,99,>90 days,2.0,10,False,111.15,1111.5,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,324,>90 days,2.0,14,False,134.73,1886.2199999999998,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,69,31-90 days,2.0,14,False,92.45,1294.3,Online TA,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,79,31-90 days,3.0,21,True,108.73,2283.33,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,12,0-30 days,2.0,1,False,73.8,73.8,Online TA,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,9,0-30 days,2.0,1,False,98.0,98.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,1,0-30 days,2.0,1,False,131.0,131.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,21,0-30 days,2.0,1,False,123.0,123.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,9,0-30 days,2.0,1,False,94.71,94.71,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,109,>90 days,2.0,1,False,123.0,123.0,Online TA,TA/TO,Transient,BB,BEL,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,109,>90 days,2.0,2,True,123.0,246.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,72,31-90 days,2.0,2,True,73.8,147.6,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,63,31-90 days,2.0,7,True,117.0,819.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-03,2015,7,July,63,31-90 days,3.0,7,False,196.54,1375.78,Offline TA/TO,TA/TO,Transient,HB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,101,>90 days,3.0,7,False,99.3,695.1,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-03,2015,7,July,102,>90 days,2.0,7,False,90.95,636.65,Direct,Direct,Transient,BB,DEU,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,4,0-30 days,2.0,3,False,92.67,278.01,Direct,Direct,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,98,>90 days,2.0,3,False,71.55,214.64999999999998,Offline TA/TO,TA/TO,Transient,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,92,>90 days,3.0,6,False,96.49,578.9399999999999,Offline TA/TO,TA/TO,Transient,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,95,>90 days,2.0,6,False,85.8,514.8,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,102,>90 days,2.0,7,False,96.3,674.1,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,26,0-30 days,4.0,7,True,163.0,1141.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,73,31-90 days,3.0,7,True,172.0,1204.0,Direct,Direct,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,102,>90 days,2.0,7,True,110.7,774.9,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,115,>90 days,2.0,7,False,58.95,412.65000000000003,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,102,>90 days,3.0,7,False,73.8,516.6,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,86,31-90 days,2.0,7,False,97.0,679.0,Online TA,TA/TO,Transient,BB,CHE,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,78,31-90 days,3.0,7,False,139.0,973.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,52,31-90 days,2.0,7,False,67.24,470.67999999999995,Online TA,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,29,0-30 days,3.0,8,False,116.5,932.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,101,>90 days,2.0,8,True,96.3,770.4,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,109,>90 days,2.0,8,False,123.0,984.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,92,>90 days,2.0,10,False,71.55,715.5,Offline TA/TO,TA/TO,Contract,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,92,>90 days,2.0,10,False,71.55,715.5,Offline TA/TO,TA/TO,Contract,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,79,31-90 days,3.0,10,False,149.0,1490.0,Direct,Direct,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,2,0-30 days,4.0,1,False,163.0,163.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,30,0-30 days,2.0,1,False,79.5,79.5,Offline TA/TO,TA/TO,Contract,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,51,31-90 days,1.0,1,True,105.0,105.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,36,31-90 days,1.0,1,True,123.0,123.0,Direct,Direct,Transient,BB,PRT,No Deposit,No-Show
Resort Hotel,2015-07-04,2015,7,July,73,31-90 days,2.0,1,True,73.8,73.8,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,33,31-90 days,2.0,1,True,113.0,113.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-04,2015,7,July,32,31-90 days,4.0,1,False,0.0,0.0,Complementary,Direct,Transient,FB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,8,0-30 days,2.0,1,False,123.0,123.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,100,>90 days,2.0,2,False,73.8,147.6,Online TA,TA/TO,Transient-Party,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,1,0-30 days,2.0,2,False,114.5,229.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,100,>90 days,2.0,2,False,73.8,147.6,Online TA,TA/TO,Transient-Party,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-04,2015,7,July,100,>90 days,2.0,2,False,73.8,147.6,Online TA,TA/TO,Transient-Party,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,9,0-30 days,2.0,1,False,88.2,88.2,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,5,0-30 days,2.0,1,True,97.0,97.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-05,2015,7,July,0,0-30 days,2.0,1,False,85.1,85.1,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,9,0-30 days,1.0,1,False,89.0,89.0,Online TA,TA/TO,Transient,BB,DEU,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,2,0-30 days,1.0,1,False,80.1,80.1,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,2,0-30 days,2.0,1,False,98.0,98.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,9,0-30 days,1.0,1,False,101.0,101.0,Online TA,TA/TO,Transient,BB,DEU,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,2,0-30 days,2.0,1,False,167.0,167.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,44,31-90 days,3.0,2,False,225.0,450.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,80,31-90 days,2.0,2,False,97.0,194.0,Online TA,TA/TO,Transient,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,97,>90 days,2.0,4,False,87.3,349.2,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,109,>90 days,3.0,5,False,85.59,427.95000000000005,Offline TA/TO,TA/TO,Transient,BB,CN,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,30,0-30 days,2.0,5,False,123.0,615.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,64,31-90 days,2.0,5,False,107.0,535.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,39,31-90 days,2.0,6,False,163.0,978.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,90,31-90 days,2.0,6,False,82.0,492.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,34,31-90 days,4.0,6,True,163.0,978.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-05,2015,7,July,93,>90 days,2.0,7,True,105.5,738.5,Offline TA/TO,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-05,2015,7,July,97,>90 days,4.0,7,False,164.2,1149.3999999999999,Direct,Direct,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,29,0-30 days,2.0,7,False,97.29,681.0300000000001,Online TA,TA/TO,Transient,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,101,>90 days,2.0,7,True,114.0,798.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-05,2015,7,July,27,0-30 days,2.0,7,False,98.4,688.8000000000001,Offline TA/TO,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,8,0-30 days,4.0,9,False,175.0,1575.0,Online TA,TA/TO,Transient,BB,CHE,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,82,31-90 days,2.0,10,False,63.6,636.0,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,94,>90 days,3.0,10,False,124.45,1244.5,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,110,>90 days,2.0,11,False,110.7,1217.7,Offline TA/TO,TA/TO,Contract,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,96,>90 days,1.0,14,False,74.07,1036.98,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-05,2015,7,July,79,31-90 days,2.0,14,False,134.1,1877.3999999999999,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,115,>90 days,4.0,5,False,167.0,835.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,111,>90 days,2.0,4,False,123.0,492.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,51,31-90 days,2.0,4,False,117.81,471.24,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,94,>90 days,3.0,4,False,171.32,685.28,Offline TA/TO,TA/TO,Transient,BB,CN,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,81,31-90 days,4.0,4,False,210.0,840.0,Direct,Direct,Transient,HB,CHE,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,84,31-90 days,3.0,4,False,97.0,388.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,51,31-90 days,3.0,4,False,117.81,471.24,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,111,>90 days,2.0,0,False,0.0,0.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,0,0-30 days,1.0,0,False,0.0,0.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,2,0-30 days,3.0,1,False,131.0,131.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,7,0-30 days,2.0,2,False,98.0,196.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,98,>90 days,2.0,2,False,87.3,174.6,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,95,>90 days,2.0,3,False,97.0,291.0,Online TA,TA/TO,Transient,BB,GRC,No Deposit,Check-Out
Resort Hotel,2015-07-06,2015,7,July,48,31-90 days,2.0,4,True,167.0,668.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-06,2015,7,July,66,31-90 days,2.0,4,False,91.5,366.0,Offline TA/TO,TA/TO,Transient,HB,PRT,No Deposit,Check-Out
