hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,arrival_year,arrival_month_num,arrival_day,total_guests,total_nights,lead_time_category,is_cancelled,estimated_revenue
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Check-Out,2015-07-04,2015-07-02,2015,7,2,2.0,2,0-30 days,False,235.62
Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,135.0,1,2,Check-Out,2015-07-04,2015-07-02,2015,7,2,2.0,2,0-30 days,False,270.0
Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-07-05,2015-07-02,2015,7,2,2.0,3,0-30 days,False,399.0
Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-05,2015-07-02,2015,7,2,2.0,3,>90 days,False,176.85000000000002
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,136.33,0,2,Canceled,2015-06-29,2015-07-02,2015,7,2,2.0,3,0-30 days,True,408.99
Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,0.0,0,Transient,153.0,1,0,Check-Out,2015-07-05,2015-07-03,2015,7,3,4.0,2,0-30 days,False,306.0
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,110.5,0,0,Check-Out,2015-07-05,2015-07-03,2015,7,3,2.0,2,0-30 days,False,221.0
Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0.0,0,Transient,97.0,0,0,Check-Out,2015-07-05,2015-07-03,2015,7,3,2.0,2,31-90 days,False,194.0
Resort Hotel,1,71,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,110.3,0,2,Canceled,2015-06-16,2015-07-03,2015,7,3,3.0,2,31-90 days,True,220.6
Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,82.0,0,2,Canceled,2015-06-18,2015-07-03,2015,7,3,2.0,2,31-90 days,True,164.0
Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,97.0,0,1,Canceled,2015-07-03,2015-07-03,2015,7,3,2.0,2,31-90 days,True,194.0
Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-12,2015-07-03,2015,7,3,2.0,2,>90 days,True,147.6
Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0.0,0,Transient,91.5,0,0,Check-Out,2015-07-05,2015-07-03,2015,7,3,2.0,2,0-30 days,False,183.0
Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,114.5,0,0,Check-Out,2015-07-05,2015-07-03,2015,7,3,2.0,2,0-30 days,False,229.0
Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,110.3,0,0,Canceled,2015-06-09,2015-07-03,2015,7,3,3.0,2,31-90 days,True,220.6
Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,90.9,1,0,Check-Out,2015-07-06,2015-07-03,2015,7,3,2.0,3,0-30 days,False,272.70000000000005
Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Canceled,2015-05-26,2015-07-03,2015,7,3,2.0,3,31-90 days,True,369.0
Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,122.0,0,0,Check-Out,2015-07-07,2015-07-03,2015,7,3,1.0,4,0-30 days,False,488.0
Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,0.0,0,Transient,110.7,1,0,Check-Out,2015-07-07,2015-07-03,2015,7,3,2.0,4,31-90 days,False,442.8
Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0.0,0,Transient,85.86,0,0,Check-Out,2015-07-11,2015-07-03,2015,7,3,3.0,8,31-90 days,False,686.88
Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,58.95,0,0,Check-Out,2015-07-12,2015-07-03,2015,7,3,2.0,9,>90 days,False,530.5500000000001
Resort Hotel,1,368,2015,July,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,55.68,0,0,Canceled,2015-05-19,2015-07-03,2015,7,3,2.0,10,>90 days,True,556.8
Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0.0,0,Contract,55.68,0,0,Check-Out,2015-07-13,2015-07-03,2015,7,3,2.0,10,>90 days,False,556.8
Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0.0,0,Transient,124.0,0,1,Canceled,2015-06-09,2015-07-03,2015,7,3,2.0,10,31-90 days,True,1240.0
Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,0.0,0,Contract,111.15,0,0,Check-Out,2015-07-13,2015-07-03,2015,7,3,2.0,10,>90 days,False,1111.5
Resort Hotel,0,324,2015,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,0.0,0,Contract,134.73,0,0,Check-Out,2015-07-17,2015-07-03,2015,7,3,2.0,14,>90 days,False,1886.2199999999998
Resort Hotel,0,69,2015,July,27,3,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241.0,0.0,0,Transient,92.45,0,1,Check-Out,2015-07-17,2015-07-03,2015,7,3,2.0,14,31-90 days,False,1294.3
Resort Hotel,1,79,2015,July,27,3,6,15,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0.0,0,Transient,108.73,0,2,Canceled,2015-04-15,2015-07-03,2015,7,3,3.0,21,31-90 days,True,2283.33
Resort Hotel,0,12,2015,July,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,73.8,0,0,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,0-30 days,False,73.8
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,98.0,1,2,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,0-30 days,False,98.0
Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0.0,0,Transient,131.0,0,1,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,0-30 days,False,131.0
Resort Hotel,0,21,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,0-30 days,False,123.0
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,0.0,0,Transient,94.71,0,0,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,0-30 days,False,94.71
Resort Hotel,0,109,2015,July,27,3,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,2,Check-Out,2015-07-04,2015-07-03,2015,7,3,2.0,1,>90 days,False,123.0
Resort Hotel,1,109,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,123.0,0,1,Canceled,2015-05-26,2015-07-03,2015,7,3,2.0,2,>90 days,True,246.0
Resort Hotel,1,72,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Canceled,2015-06-29,2015-07-03,2015,7,3,2.0,2,31-90 days,True,147.6
Resort Hotel,1,63,2015,July,27,3,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,0.0,0,Transient,117.0,0,1,Canceled,2015-05-13,2015-07-03,2015,7,3,2.0,7,31-90 days,True,819.0
Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105.0,0.0,0,Transient,196.54,0,1,Check-Out,2015-07-10,2015-07-03,2015,7,3,3.0,7,31-90 days,False,1375.78
Resort Hotel,0,101,2015,July,27,3,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0.0,0,Transient,99.3,1,2,Check-Out,2015-07-10,2015-07-03,2015,7,3,3.0,7,>90 days,False,695.1
Resort Hotel,0,102,2015,July,27,3,2,5,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0.0,0,Transient,90.95,0,0,Check-Out,2015-07-10,2015-07-03,2015,7,3,2.0,7,>90 days,False,636.65
Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,0.0,0,Transient,92.67,0,1,Check-Out,2015-07-07,2015-07-04,2015,7,4,2.0,3,0-30 days,False,278.01
